imageId,age,gender,ethnicity,emotion
000000,4.0,male,caucasian,neutral
000001,18.0,female,caucasian,neutral
000002,80.0,female,caucasian,slightlyhappy
000003,50.0,female,caucasian,happy
000004,17.0,female,caucasian,slightlyhappy
000005,27.0,male,asian,slightlyhappy
000006,24.0,female,caucasian,slightlyhappy
000007,43.0,male,caucasian,other
000008,26.0,male,asian,neutral
000009,39.0,female,caucasian,neutral
000010,17.0,male,caucasian,other
000011,51.0,male,asian,neutral
000012,2.0,female,caucasian,neutral
000013,1.0,female,caucasian,other
000014,6.0,female,caucasian,slightlyhappy
000015,18.0,female,caucasian,neutral
000016,24.0,male,caucasian,slightlyhappy
000017,5.0,female,caucasian,slightlyhappy
000018,40.0,female,caucasian,happy
000019,16.0,female,caucasian,happy
000020,29.0,female,caucasian,other
000021,1.0,female,caucasian,other
000022,35.0,male,caucasian,slightlyhappy
000023,25.0,male,caucasian,neutral
000024,5.0,male,caucasian,slightlyhappy
000025,30.0,female,caucasian,slightlyhappy
000026,24.0,female,caucasian,slightlyhappy
000027,35.0,male,caucasian,neutral
000028,65.0,male,caucasian,neutral
000029,13.0,female,asian,slightlyhappy
000030,1.0,male,caucasian,neutral
000031,28.0,male,caucasian,slightlyhappy
000032,27.0,male,caucasian,other
000033,16.0,female,caucasian,slightlyhappy
000034,4.0,male,caucasian,slightlyhappy
000035,16.0,female,caucasian,slightlyhappy
000036,2.0,male,afroamerican,other
000037,31.0,male,caucasian,slightlyhappy
000038,10.0,female,caucasian,happy
000039,4.0,male,caucasian,other
000040,1.0,male,caucasian,other
000041,34.0,female,asian,neutral
000042,15.0,female,caucasian,neutral
000043,30.0,female,caucasian,slightlyhappy
000044,8.0,female,caucasian,other
000045,20.0,male,caucasian,slightlyhappy
000046,16.0,female,caucasian,neutral
000047,19.0,female,caucasian,slightlyhappy
000048,40.0,female,caucasian,neutral
000049,10.0,female,caucasian,slightlyhappy
000050,42.0,male,asian,slightlyhappy
000051,23.0,female,caucasian,neutral
000052,25.0,female,asian,neutral
000053,1.0,female,caucasian,neutral
000054,58.0,female,caucasian,happy
000055,23.0,male,asian,slightlyhappy
000056,44.0,female,caucasian,happy
000057,7.0,female,caucasian,slightlyhappy
000058,21.0,male,caucasian,happy
000059,14.0,female,caucasian,slightlyhappy
000060,28.0,female,caucasian,neutral
000061,24.0,male,caucasian,slightlyhappy
000062,10.0,female,caucasian,slightlyhappy
000063,40.0,male,caucasian,slightlyhappy
000064,26.0,female,caucasian,slightlyhappy
000065,34.0,male,caucasian,neutral
000066,48.0,male,caucasian,neutral
000067,39.0,male,caucasian,neutral
000068,5.0,male,caucasian,slightlyhappy
000069,24.0,female,caucasian,other
000070,27.0,male,caucasian,happy
000071,45.0,female,caucasian,slightlyhappy
000072,24.0,male,caucasian,slightlyhappy
000073,21.0,female,caucasian,neutral
000074,24.0,male,asian,slightlyhappy
000075,24.0,male,caucasian,happy
000076,26.0,female,asian,slightlyhappy
000077,14.0,female,caucasian,happy
000078,17.0,female,afroamerican,happy
000079,2.0,female,asian,neutral
000080,27.0,female,caucasian,slightlyhappy
000081,23.0,female,caucasian,slightlyhappy
000082,25.0,female,caucasian,other
000083,18.0,female,caucasian,slightlyhappy
000084,58.0,male,caucasian,other
000085,51.0,female,caucasian,other
000086,25.0,male,caucasian,neutral
000087,29.0,male,caucasian,other
000088,37.0,male,caucasian,neutral
000089,50.0,male,caucasian,other
000090,35.0,male,caucasian,slightlyhappy
000091,22.0,male,caucasian,slightlyhappy
000092,28.0,female,caucasian,slightlyhappy
000093,59.0,male,caucasian,slightlyhappy
000094,30.0,male,caucasian,happy
000095,17.0,male,caucasian,neutral
000096,53.0,female,caucasian,happy
000097,51.0,female,caucasian,happy
000098,24.0,female,caucasian,happy
000099,19.0,female,caucasian,happy
000100,45.0,male,caucasian,slightlyhappy
000101,9.0,male,afroamerican,other
000102,41.0,male,caucasian,slightlyhappy
000103,32.0,female,caucasian,slightlyhappy
000104,27.0,male,caucasian,slightlyhappy
000105,60.0,female,caucasian,happy
000106,45.0,female,caucasian,happy
000107,23.0,male,afroamerican,happy
000108,38.0,female,caucasian,other
000109,20.0,male,caucasian,other
000110,13.0,female,caucasian,neutral
000111,54.0,male,caucasian,neutral
000112,49.0,male,caucasian,slightlyhappy
000113,19.0,female,caucasian,happy
000114,36.0,male,caucasian,neutral
000115,80.0,female,caucasian,other
000116,24.0,male,caucasian,other
000117,11.0,female,caucasian,happy
000118,8.0,male,caucasian,other
000119,60.0,male,caucasian,slightlyhappy
000120,70.0,male,caucasian,slightlyhappy
000121,23.0,female,caucasian,slightlyhappy
000122,15.0,female,caucasian,neutral
000123,22.0,female,caucasian,slightlyhappy
000124,25.0,female,caucasian,neutral
000125,28.0,male,caucasian,slightlyhappy
000126,37.0,male,caucasian,neutral
000127,24.0,male,asian,neutral
000128,26.0,female,caucasian,slightlyhappy
000129,16.0,male,caucasian,neutral
000130,5.0,female,caucasian,slightlyhappy
000131,60.0,male,caucasian,slightlyhappy
000132,43.0,male,caucasian,slightlyhappy
000133,24.0,female,caucasian,happy
000134,42.0,male,caucasian,happy
000135,26.0,female,caucasian,slightlyhappy
000136,54.0,male,asian,neutral
000137,52.0,female,caucasian,neutral
000138,24.0,female,asian,slightlyhappy
000139,23.0,female,caucasian,neutral
000140,26.0,male,caucasian,slightlyhappy
000141,18.0,female,caucasian,happy
000142,54.0,female,caucasian,happy
000143,4.0,female,caucasian,slightlyhappy
000144,23.0,male,caucasian,neutral
000145,30.0,male,caucasian,neutral
000146,23.0,female,caucasian,happy
000147,8.0,female,caucasian,neutral
000148,40.0,female,caucasian,happy
000149,52.0,male,caucasian,slightlyhappy
000150,37.0,male,caucasian,slightlyhappy
000151,1.0,male,caucasian,neutral
000152,25.0,female,caucasian,other
000153,20.0,male,caucasian,slightlyhappy
000154,28.0,male,caucasian,neutral
000155,60.0,male,caucasian,neutral
000156,34.0,male,caucasian,slightlyhappy
000157,48.0,female,asian,neutral
000158,1.0,female,afroamerican,neutral
000159,18.0,female,asian,neutral
000160,21.0,male,caucasian,neutral
000161,30.0,female,asian,slightlyhappy
000162,32.0,male,caucasian,other
000163,48.0,male,caucasian,slightlyhappy
000164,50.0,male,caucasian,neutral
000165,45.0,male,caucasian,slightlyhappy
000166,31.0,female,caucasian,happy
000167,80.0,female,caucasian,other
000168,24.0,female,asian,happy
000169,21.0,male,caucasian,slightlyhappy
000170,13.0,female,afroamerican,happy
000171,32.0,female,caucasian,slightlyhappy
000172,33.0,female,caucasian,happy
000173,28.0,female,asian,happy
000174,52.0,female,caucasian,slightlyhappy
000175,72.0,male,asian,neutral
000176,47.0,male,caucasian,slightlyhappy
000177,30.0,male,caucasian,other
000178,6.0,male,caucasian,other
000179,27.0,female,caucasian,slightlyhappy
000180,26.0,male,caucasian,slightlyhappy
000181,14.0,female,asian,slightlyhappy
000182,23.0,male,caucasian,slightlyhappy
000183,28.0,male,caucasian,neutral
000184,33.0,male,caucasian,neutral
000185,26.0,male,caucasian,slightlyhappy
000186,16.0,male,caucasian,neutral
000187,8.0,male,caucasian,happy
000188,39.0,female,caucasian,slightlyhappy
000189,46.0,female,caucasian,slightlyhappy
000190,65.0,male,caucasian,neutral
000191,55.0,male,caucasian,neutral
000192,6.0,male,caucasian,happy
000193,63.0,male,caucasian,slightlyhappy
000194,21.0,female,caucasian,slightlyhappy
000195,26.0,male,caucasian,happy
000196,17.0,female,caucasian,slightlyhappy
000197,22.0,female,caucasian,happy
000198,17.0,female,caucasian,neutral
