imageId,split,age,gender,ethnicity,emotion,image_path,load_error,lap_var,tenengrad,face_found,face_area_ratio,roi_lap_var,roi_tenengrad,jpeg_blockiness,artifact_score,niqe,brisque,black_bar_score,black_bar_area_ratio,black_bar_span_ratio,black_bar_solid,black_bar_count,drop_reasons,keep,badness_score,drop_reasons_str
2484,train,16,male,asian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/002484.jpg,False,166.4440155029297,23.727725982666016,True,0.14492513020833334,280.1966857910156,55.9329833984375,0.08306455612182617,0.0035007380261290054,13.247972936751612,27.97808837890625,0.0,0.0,0.0,False,0,['niqe'],False,0.555770931742477,niqe
869,train,40,female,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000869.jpg,False,460.78045654296875,31.808982849121094,True,0.024075520833333332,64.3255844116211,45.435035705566406,-0.6215090751647949,-0.01953879061691459,12.270536960422975,46.4781494140625,0.0,0.0,0.0,False,0,['niqe'],False,0.526958616406647,niqe
4394,valid,45,female,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/valid_data/004394.jpg,False,10.308425903320312,35.56531524658203,True,0.5325054784514244,19.292583465576172,44.673587799072266,-0.09608674049377441,-0.0027016979078038914,11.842101778939695,79.44366455078125,0.0,0.0,0.0,False,0,"['niqe', 'brisque', 'worst_quality_percentile']",False,0.6494156614035418,niqe;brisque;worst_quality_percentile
3972,train,52,female,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/003972.jpg,False,17.456321716308594,38.93196105957031,True,0.3656716417910448,19.2377872467041,42.95718765258789,-0.39116382598876953,-0.010047369957626194,11.653832168923461,78.29443359375,0.0,0.0,0.0,False,0,"['niqe', 'brisque']",False,0.5980578504620133,niqe;brisque
2846,train,65,male,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/002846.jpg,False,11.313140869140625,29.20448875427246,False,0.0,15.47365951538086,34.0109748840332,0.11042571067810059,0.003781121040197112,11.387198760733828,78.238525390625,0.09310344827586209,0.13706896551724138,0.6551724137931034,False,1,"['niqe', 'brisque', 'worst_quality_percentile']",False,0.849728061426125,niqe;brisque;worst_quality_percentile
3275,train,22,male,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/003275.jpg,False,13.82325553894043,40.90886306762695,True,0.35650623885918004,11.982888221740723,45.468997955322266,-0.021148681640625,-0.000516970640046711,11.352454888907028,78.82275390625,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'niqe', 'brisque', 'worst_quality_percentile']",False,0.6843630615202212,roi_blur_laplacian;niqe;brisque;worst_quality_percentile
3412,train,21,male,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/003412.jpg,False,11.652355194091797,29.524303436279297,False,0.0,9.177886009216309,33.54179763793945,0.2815566062927246,0.00953643486844518,11.243236582923588,78.3302001953125,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'niqe', 'brisque', 'worst_quality_percentile']",False,0.8447785911888138,roi_blur_laplacian;niqe;brisque;worst_quality_percentile
5286,valid,24,male,caucasian,happy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/valid_data/005286.jpg,False,17.79511070251465,45.665496826171875,True,0.21692625258022144,8.079410552978516,38.785457611083984,0.264129638671875,0.0057840087428215154,11.142720706967804,77.4136962890625,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'niqe', 'brisque', 'worst_quality_percentile']",False,0.814573649246288,roi_blur_laplacian;niqe;brisque;worst_quality_percentile
6153,test,20,female,caucasian,happy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/test_data/006153.jpg,False,8.851215362548828,36.276023864746094,True,0.23920265780730898,9.262630462646484,37.907527923583984,0.21209955215454102,0.005846824533430741,11.11538647431331,75.677734375,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'niqe', 'brisque', 'worst_quality_percentile']",False,0.8095300826166323,roi_blur_laplacian;niqe;brisque;worst_quality_percentile
2961,train,23,female,caucasian,happy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/002961.jpg,False,15.421961784362793,33.560726165771484,True,0.3136,6.624485492706299,24.894084930419922,-0.11444735527038574,-0.00341015719668644,10.941797219862515,74.4521484375,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'niqe', 'brisque', 'worst_quality_percentile']",False,0.6871294954551442,roi_blur_laplacian;niqe;brisque;worst_quality_percentile
3718,train,23,male,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/003718.jpg,False,5.993178844451904,19.204833984375,True,0.30864197530864196,8.417695045471191,33.16489791870117,0.08514726161956787,0.004433636721629914,10.762137659328623,81.169677734375,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'niqe', 'brisque', 'worst_quality_percentile']",False,0.7875679846434688,roi_blur_laplacian;niqe;brisque;worst_quality_percentile
3525,train,48,male,caucasian,happy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/003525.jpg,False,17.428348541259766,36.12059020996094,False,0.0,18.005338668823242,38.720924377441406,-0.6744616031646729,-0.01867249622920561,10.722008153446934,73.54986572265625,0.0,0.0,0.0,False,0,"['niqe', 'brisque']",False,0.5992622842840206,niqe;brisque
2854,train,38,female,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/002854.jpg,False,16.272897720336914,31.424301147460938,True,0.3906133766145939,34.11451721191406,38.7352180480957,-0.03846478462219238,-0.0012240457860191595,10.392414197310249,71.4207763671875,0.0,0.0,0.0,False,0,['worst_quality_percentile'],False,0.6840619530647195,worst_quality_percentile
2705,train,21,male,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/002705.jpg,False,41.630218505859375,57.214210510253906,True,0.7056,123.19036865234375,76.11711120605469,-0.05670022964477539,-0.0009910165350196882,10.38106234087914,70.64825439453125,0.0,0.0,0.0,False,0,[],True,0.5442347140410636,
1366,train,38,male,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/001366.jpg,False,38.24230194091797,55.80506896972656,True,0.655328798185941,65.39126586914062,63.42119216918945,0.07633137702941895,0.0013678215450823306,10.369241381053948,72.50311279296875,0.0,0.0,0.0,False,0,['worst_quality_percentile'],False,0.635997515855242,worst_quality_percentile
628,train,41,female,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000628.jpg,False,19.54995346069336,35.133487701416016,True,0.14560249307479226,3.343984365463257,24.25055694580078,-0.011437416076660156,-0.0003255417124630491,10.350888308970747,72.72955322265625,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'worst_quality_percentile']",False,0.7352503905000283,roi_blur_laplacian;worst_quality_percentile
1828,train,52,female,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/001828.jpg,False,21.262392044067383,38.69334030151367,True,0.4225308641975309,72.77134704589844,53.78080749511719,-0.08041620254516602,-0.002078295640547852,10.216304429974437,73.6954345703125,0.0,0.0,0.0,False,0,['brisque'],False,0.5982648625251709,brisque
1133,train,65,male,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/001133.jpg,False,23.106613159179688,33.23202133178711,False,0.0,30.1170654296875,37.277713775634766,0.19339537620544434,0.00581954881573541,10.190784117931521,72.8802490234375,0.0,0.0,0.0,False,0,['worst_quality_percentile'],False,0.7982385155353143,worst_quality_percentile
512,train,67,male,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/000512.jpg,False,5.658689022064209,16.81264305114746,True,0.35353535353535354,7.627460956573486,21.111427307128906,-0.006440639495849609,-0.0003830830817720212,10.179915635044418,72.40191650390625,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'worst_quality_percentile']",False,0.7351186555507461,roi_blur_laplacian;worst_quality_percentile
4527,valid,17,male,caucasian,slightlyhappy,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/valid_data/004527.jpg,False,48.922340393066406,55.737545013427734,True,0.2966358418367347,19.807109832763672,47.01713562011719,-0.13225793838500977,-0.0023728697771004757,10.096652494469629,69.61785888671875,0.0,0.0,0.0,False,0,['worst_quality_percentile'],False,0.6357716845136158,worst_quality_percentile
3676,train,24,male,asian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/train_data/003676.jpg,False,36.52987289428711,50.49048614501953,True,0.4058922996878252,44.47159194946289,53.740352630615234,0.06725597381591797,0.0013320523848927097,10.074131783675021,70.63153076171875,0.0,0.0,0.0,False,0,['worst_quality_percentile'],False,0.6735419764006249,worst_quality_percentile
5364,valid,27,male,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/valid_data/005364.jpg,False,16.844738006591797,31.104339599609375,True,0.28444444444444444,11.388615608215332,36.598880767822266,0.03146243095397949,0.0010115125525076913,10.062748299275453,71.793701171875,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'worst_quality_percentile']",False,0.7357773302971564,roi_blur_laplacian;worst_quality_percentile
5222,valid,27,male,asian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/valid_data/005222.jpg,False,13.270602226257324,21.62698745727539,True,0.2707825203252033,19.212871551513672,31.734355926513672,-0.0005718469619750977,-2.644135881908821e-05,10.016450551425727,74.4676513671875,0.0,0.0,0.0,False,0,"['brisque', 'worst_quality_percentile']",False,0.7249562451775599,brisque;worst_quality_percentile
5362,valid,26,male,caucasian,neutral,/home/fox/Desktop/Projects/Amrita RLHF/Diffusion_RL_Abi/datasets/appa-real-dataset_v2/valid_data/005362.jpg,False,37.60906219482422,51.65615463256836,True,0.0719928895911515,3.918164014816284,32.31354522705078,-0.1877727508544922,-0.0036350508193084457,9.973139565065788,68.60198974609375,0.0,0.0,0.0,False,0,"['roi_blur_laplacian', 'worst_quality_percentile']",False,0.6666917590379585,roi_blur_laplacian;worst_quality_percentile
