run_id,learning_rate,lora_r,lora_alpha,lora_dropout,gradient_accumulation_steps,num_epochs,train_subset_ratio,valid_subset_ratio,subset_seed,output_base_dir,elapsed_sec
b1d768_run_20260127-161521,1e-05,16,16,0.05,4,5,0.1,0.1,42,lora_training_runs,769.74
2a13f5_run_20260127-162811,1e-05,16,16,0.1,4,5,0.1,0.1,42,lora_training_runs,814.4
9aa65b_run_20260127-164145,2e-05,16,16,0.05,4,5,0.1,0.1,42,lora_training_runs,822.79
719699_run_20260127-165528,2e-05,16,16,0.1,4,5,0.1,0.1,42,lora_training_runs,830.36
0ace58_run_20260127-170919,4e-05,16,16,0.05,4,5,0.1,0.1,42,lora_training_runs,864.49
216067_run_20260127-172343,4e-05,16,16,0.1,4,5,0.1,0.1,42,lora_training_runs,970.06
4c0886_run_20260127-173953,1e-05,32,32,0.05,4,5,0.1,0.1,42,lora_training_runs,919.94
1aebb6_run_20260127-175513,1e-05,32,32,0.1,4,5,0.1,0.1,42,lora_training_runs,856.18
568acc_run_20260127-180929,2e-05,32,32,0.05,4,5,0.1,0.1,42,lora_training_runs,761.72
f4deab_run_20260127-182211,2e-05,32,32,0.1,4,5,0.1,0.1,42,lora_training_runs,757.39
ed3b0a_run_20260127-183448,4e-05,32,32,0.05,4,5,0.1,0.1,42,lora_training_runs,756.46
8b95ca_run_20260127-184725,4e-05,32,32,0.1,4,5,0.1,0.1,42,lora_training_runs,751.49
8b3859_run_20260127-185956,1e-05,64,64,0.05,4,5,0.1,0.1,42,lora_training_runs,748.71
3f8cf9_run_20260127-191225,1e-05,64,64,0.1,4,5,0.1,0.1,42,lora_training_runs,750.08
cba9f3_run_20260127-192455,2e-05,64,64,0.05,4,5,0.1,0.1,42,lora_training_runs,742.69
9094ee_run_20260127-193718,2e-05,64,64,0.1,4,5,0.1,0.1,42,lora_training_runs,742.43
4c8f91_run_20260127-194940,4e-05,64,64,0.05,4,5,0.1,0.1,42,lora_training_runs,797.79
1569a7_run_20260127-201549,2e-05,32,32,0,4,10,0.1,0.1,42,lora_training_runs,1775.11
d4d4b7_run_20260127-204524,2e-05,32,32,0.05,4,10,0.1,0.1,42,lora_training_runs,1722.18
faa474_run_20260127-211407,2e-05,64,64,0,4,10,0.1,0.1,42,lora_training_runs,1466.89
359e90_run_20260127-213833,2e-05,64,64,0.05,4,10,0.1,0.1,42,lora_training_runs,1729.19
72074b_run_20260127-220723,2e-05,64,32,0,4,10,0.1,0.1,42,lora_training_runs,1516.25
5bacc8_run_20260127-223239,2e-05,64,32,0.05,4,10,0.1,0.1,42,lora_training_runs,1467.84
